nb;Param;Instance;solution;time
30;48;2;54;1e-06
30;48;3;50;0
30;48;4;57;0
30;48;5;58;0
30;48;6;58;0
30;48;7;55;0
30;48;8;44;0
30;48;9;59;0
30;48;10;54;0
60;1;1;84;0
60;1;2;79;1e-06
60;1;3;72;0
60;1;4;96;1e-06
60;1;5;83;1e-06
60;1;6;69;0
60;1;7;83;0
60;1;8;87;0
60;1;9;89;0
60;1;10;84;0
60;2;1;67;1e-06
60;2;2;86;0
60;2;3;80;1e-06
60;2;4;82;0
60;2;5;60;1e-06
60;2;6;68;1e-06
60;2;7;55;0
60;2;8;72;0
60;2;9;72;1e-06
60;2;10;73;1e-06
60;3;1;60;0
60;3;2;69;0
60;3;3;105;0
60;3;4;83;1e-06
60;3;5;83;1e-06
60;3;6;60;0
60;3;7;59;1e-06
60;3;8;58;1e-06
60;3;9;67;1e-06
60;3;10;72;1e-06
60;4;1;84;1e-06
60;4;2;60;0
60;4;3;58;1e-06
60;4;4;65;0
60;4;5;75;0
60;4;6;71;1e-06
60;4;7;67;0
60;4;8;65;0
60;4;9;75;1e-06
60;4;10;77;1e-06
60;5;1;92;1e-06
60;5;2;119;0
60;5;3;88;1e-06
60;5;4;79;1e-06
60;5;5;137;0
60;5;6;95;0
60;5;7;89;0
60;5;8;100;0
60;5;9;102;0
60;5;10;90;1e-06
60;6;1;65;0
60;6;2;75;1e-06
60;6;3;82;1e-06
60;6;4;73;0
60;6;5;81;0
60;6;6;68;0
60;6;7;69;1e-06
60;6;8;83;0
60;6;9;77;0
60;6;10;81;0
60;7;1;78;0
60;7;2;86;0
60;7;3;62;0
60;7;4;66;1e-06
60;7;5;72;1e-06
60;7;6;68;1e-06
60;7;7;99;1e-06
60;7;8;66;0
60;7;9;49;1e-06
60;7;10;82;0
60;8;1;64;5e-06
60;8;2;61;1e-06
60;8;3;79;1e-06
60;8;4;64;0
60;8;5;83;1e-06
60;8;6;56;0
60;8;7;62;0
60;8;8;66;3e-06
60;8;9;58;1e-06
60;8;10;97;1e-06
60;9;1;101;0
60;9;2;105;0
60;9;3;124;0
60;9;4;113;0
60;9;5;111;0
60;9;6;126;0
60;9;7;137;2e-06
60;9;8;114;1e-06
60;9;9;124;0
60;9;10;112;1e-06
60;10;1;93;1e-06
60;10;2;79;0
60;10;3;75;0
60;10;4;86;0
60;10;5;85;0
60;10;6;83;0
60;10;7;77;1e-06
60;10;8;74;0
60;10;9;85;0
60;10;10;78;0
60;11;1;71;1e-06
60;11;2;68;1e-06
60;11;3;77;6e-06
60;11;4;80;0
60;11;5;65;0
60;11;6;76;1e-06
60;11;7;71;1e-06
60;11;8;69;4e-06
60;11;9;66;1e-06
60;11;10;59;1e-06
60;12;1;59;0
60;12;2;58;1e-06
60;12;3;75;0
60;12;4;69;0
60;12;5;63;0
60;12;6;54;1e-06
60;12;7;71;1e-06
60;12;8;60;0
60;12;9;59;0
60;12;10;79;0
60;13;1;135;1e-06
60;13;2;122;2e-06
60;13;3;103;1e-06
60;13;4;117;0
60;13;5;118;1e-06
60;13;6;106;0
60;13;7;105;0
60;13;8;138;1e-06
60;13;9;121;0
60;13;10;135;1e-06
60;14;1;69;0
60;14;2;71;0
60;14;3;67;1e-06
60;14;4;76;1e-06
60;14;5;66;1e-06
60;14;6;67;1e-06
60;14;7;77;1e-06
60;14;8;90;0
60;14;9;70;1e-06
60;14;10;81;2e-06
60;15;1;86;1e-06
60;15;2;91;1e-06
60;15;3;72;0
60;15;4;77;1e-06
60;15;5;75;0
60;15;6;81;1e-06
60;15;7;65;0
60;15;8;81;0
60;15;9;74;3e-06
60;15;10;64;1e-06
60;16;1;64;1e-06
60;16;2;64;1e-06
60;16;3;53;1e-06
60;16;4;60;0
60;16;5;66;0
60;16;6;66;1e-06
60;16;7;82;1e-06
60;16;8;68;0
60;16;9;54;1e-06
60;16;10;68;1e-06
60;17;1;96;2e-06
60;17;2;82;1e-06
60;17;3;99;0
60;17;4;79;0
60;17;5;65;1e-06
60;17;6;76;1e-06
60;17;7;104;0
60;17;8;95;1e-06
60;17;9;88;0
60;17;10;85;0
60;18;1;88;0
60;18;2;73;0
60;18;3;77;1e-06
60;18;4;80;0
60;18;5;84;0
60;18;6;61;0
60;18;7;93;0
60;18;8;79;0
60;18;9;73;1e-06
60;18;10;102;1e-06
60;19;1;63;0
60;19;2;83;0
60;19;3;83;1e-06
60;19;4;67;1e-06
60;19;5;78;0
60;19;6;70;0
60;19;7;60;0
60;19;8;87;0
60;19;9;75;0
60;19;10;80;1e-06
60;20;1;60;1e-06
60;20;2;78;0
60;20;3;69;1e-06
60;20;4;86;0
60;20;5;71;1e-06
60;20;6;97;0
60;20;7;74;0
60;20;8;65;1e-06
60;20;9;74;0
60;20;10;70;0
60;21;1;114;1e-06
60;21;2;129;0
60;21;3;108;0
60;21;4;122;1e-06
60;21;5;101;1e-06
60;21;6;113;0
60;21;7;123;0
60;21;8;126;1e-06
60;21;9;111;1e-06
60;21;10;87;0
60;22;1;72;1e-06
60;22;2;94;1e-06
60;22;3;77;0
60;22;4;85;1e-06
60;22;5;77;0
60;22;6;86;1e-06
60;22;7;76;1e-06
60;22;8;67;1e-06
60;22;9;69;1e-06
60;22;10;80;1e-06
60;23;1;75;1e-06
60;23;2;70;0
60;23;3;80;0
60;23;4;88;1e-06
60;23;5;77;1e-06
60;23;6;83;0
60;23;7;62;0
60;23;8;76;0
60;23;9;65;1e-06
60;23;10;69;0
60;24;1;65;0
60;24;2;55;1e-06
60;24;3;67;0
60;24;4;78;1e-06
60;24;5;76;0
60;24;6;75;1e-06
60;24;7;68;0
60;24;8;81;0
60;24;9;80;1e-06
60;24;10;66;0
60;25;1;134;0
60;25;2;118;0
60;25;3;131;0
60;25;4;133;0
60;25;5;110;1e-06
60;25;6;134;0
60;25;7;101;0
60;25;8;121;0
60;25;9;116;0
60;25;10;124;0
60;26;1;98;1e-06
60;26;2;75;1e-06
60;26;3;88;1e-06
60;26;4;83;1e-06
60;26;5;71;1e-06
60;26;6;95;1e-06
60;26;7;75;0
60;26;8;95;1e-06
60;26;9;84;0
60;26;10;95;0
60;27;1;101;1e-06
60;27;2;81;0
60;27;3;83;0
60;27;4;67;0
60;27;5;78;0
60;27;6;65;1e-06
60;27;7;84;0
60;27;8;88;0
60;27;9;77;1e-06
60;27;10;61;0
60;28;1;92;0
60;28;2;64;0
60;28;3;72;0
60;28;4;84;0
60;28;5;71;0
60;28;6;89;0
60;28;7;75;0
60;28;8;62;0
60;28;9;74;1e-06
60;28;10;74;0
60;29;1;120;1e-06
60;29;2;160;1e-06
60;29;3;140;1e-06
60;29;4;160;0
60;29;5;138;0
60;29;6;179;0
60;29;7;144;0
60;29;8;120;0
60;29;9;141;1e-06
60;29;10;143;0
60;30;1;79;0
60;30;2;78;0
60;30;3;104;0
60;30;4;76;0
60;30;5;81;1e-06
60;30;6;80;1e-06
60;30;7;99;1e-06
60;30;8;72;1e-06
60;30;9;122;0
60;30;10;103;0
60;31;1;66;0
60;31;2;80;1e-06
60;31;3;69;1e-06
60;31;4;69;1e-06
60;31;5;72;0
60;31;6;81;1e-06
60;31;7;83;1e-06
60;31;8;82;0
60;31;9;88;0
60;31;10;62;0
60;32;1;69;1e-06
60;32;2;114;0
60;32;3;85;0
60;32;4;56;0
60;32;5;77;0
60;32;6;93;0
60;32;7;76;1e-06
60;32;8;76;1e-06
60;32;9;74;1e-06
60;32;10;77;1e-06
60;33;1;114;1e-06
60;33;2;107;0
60;33;3;97;0
60;33;4;89;1e-06
60;33;5;117;0
60;33;6;83;0
60;33;7;88;1e-06
60;33;8;92;1e-06
60;33;9;125;0
60;33;10;94;0
60;34;1;81;0
60;34;2;72;1e-06
60;34;3;71;1e-06
60;34;4;83;1e-06
60;34;5;86;0
60;34;6;93;1e-06
60;34;7;90;0
60;34;8;69;0
60;34;9;83;1e-06
60;34;10;101;0
60;35;1;78;1e-06
60;35;2;78;0
60;35;3;96;1e-06
60;35;4;76;1e-06
60;35;5;81;1e-06
60;35;6;79;1e-06
60;35;7;73;1e-06
60;35;8;82;1e-06
60;35;9;78;1e-06
60;35;10;71;1e-06
60;36;1;61;0
60;36;2;75;1e-06
60;36;3;81;0
60;36;4;85;1e-06
60;36;5;57;0
60;36;6;76;0
60;36;7;71;1e-06
60;36;8;69;1e-06
60;36;9;86;0
60;36;10;77;1e-06
60;37;1;114;0
60;37;2;111;1e-06
60;37;3;162;0
60;37;4;123;0
60;37;5;111;0
60;37;6;115;0
60;37;7;133;1e-06
60;37;8;107;0
60;37;9;117;1e-06
60;37;10;115;1e-06
60;38;1;84;1e-06
60;38;2;88;1e-06
60;38;3;84;0
60;38;4;69;1e-06
60;38;5;112;1e-06
60;38;6;99;0
60;38;7;82;0
60;38;8;82;0
60;38;9;73;1e-06
60;38;10;70;1e-06
60;39;1;85;0
60;39;2;84;0
60;39;3;83;0
60;39;4;93;1e-06
60;39;5;76;1e-06
60;39;6;86;1e-06
60;39;7;69;1e-06
60;39;8;77;0
60;39;9;73;0
60;39;10;74;0
60;40;1;86;0
60;40;2;81;1e-06
60;40;3;70;0
60;40;4;87;0
60;40;5;83;1e-06
60;40;6;69;0
60;40;7;68;1e-06
60;40;8;80;0
60;40;9;90;0
60;40;10;73;1e-06
60;41;1;157;1e-06
60;41;2;138;1e-06
60;41;3;120;1e-06
60;41;4;162;0
60;41;5;132;0
60;41;6;158;0
60;41;7;171;0
60;41;8;154;1e-06
60;41;9;156;1e-06
60;41;10;127;1e-06
60;42;1;87;0
60;42;2;71;0
60;42;3;94;0
60;42;4;122;1e-06
60;42;5;86;1e-06
60;42;6;91;0
60;42;7;68;0
60;42;8;93;1e-06
60;42;9;79;1e-06
60;42;10;93;0
60;43;1;113;1e-06
60;43;2;89;0
60;43;3;78;1e-06
60;43;4;82;0
60;43;5;67;0
60;43;6;85;0
60;43;7;95;0
60;43;8;71;1e-06
60;43;9;73;0
60;43;10;84;1e-06
60;44;1;84;0
60;44;2;68;0
60;44;3;87;0
60;44;4;77;1e-06
60;44;5;74;0
60;44;6;81;1e-06
60;44;7;76;1e-06
60;44;8;83;0
60;44;9;65;0
60;44;10;65;0
60;45;1;113;0
60;45;2;170;1e-06
60;45;3;177;0
60;45;4;128;1e-06
60;45;5;127;2e-06
60;45;6;166;1e-06
60;45;7;141;1e-06
60;45;8;162;1e-06
60;45;9;143;2e-06
60;45;10;132;0
60;46;1;86;0
60;46;2;87;3e-06
60;46;3;92;1e-06
60;46;4;86;1e-06
60;46;5;103;0
60;46;6;106;0
60;46;7;93;1e-06
60;46;8;86;1e-06
60;46;9;73;0
60;46;10;94;0
60;47;1;75;1e-06
60;47;2;69;0
60;47;3;74;1e-06
60;47;4;78;1e-06
60;47;5;97;0
60;47;6;80;1e-06
60;47;7;74;1e-06
60;47;8;77;1e-06
60;47;9;83;1e-06
60;47;10;70;1e-06
60;48;1;71;0
60;48;2;87;0
60;48;3;84;1e-06
60;48;4;62;0
60;48;5;101;1e-06
60;48;6;66;1e-06
60;48;7;77;1e-06
60;48;8;88;1e-06
60;48;9;82;0
60;48;10;70;0
90;1;1;94;0
90;1;2;98;1e-06
90;1;3;75;0
90;1;4;98;2e-06
90;1;5;110;1e-06
90;1;6;88;0
90;1;7;95;0
90;1;8;113;0
90;1;9;84;1e-06
90;1;10;104;0
90;2;1;102;2e-06
90;2;2;126;1e-06
90;2;3;78;1e-06
90;2;4;71;1e-06
90;2;5;109;0
90;2;6;70;1e-06
90;2;7;97;1e-06
90;2;8;85;0
90;2;9;89;1e-06
90;2;10;85;0
90;3;1;82;1e-06
90;3;2;84;1e-06
90;3;3;71;1e-06
90;3;4;109;0
90;3;5;75;1e-06
90;3;6;76;4e-06
90;3;7;88;1e-06
90;3;8;91;0
90;3;9;63;1e-06
90;3;10;71;0
90;4;1;93;1e-06
90;4;2;89;0
90;4;3;67;0
90;4;4;92;1e-06
90;4;5;88;1e-06
90;4;6;78;0
90;4;7;80;0
90;4;8;69;0
90;4;9;79;1e-06
90;4;10;68;0
90;5;1;108;0
90;5;2;121;0
90;5;3;105;0
90;5;4;140;0
90;5;5;135;0
90;5;6;113;0
90;5;7;126;0
90;5;8;131;3e-06
90;5;9;142;1e-06
90;5;10;119;1e-06
90;6;1;87;1e-06
90;6;2;90;1e-06
90;6;3;88;0
90;6;4;87;1e-06
90;6;5;83;1e-06
90;6;6;99;5e-06
90;6;7;79;1e-06
90;6;8;86;3e-06
90;6;9;71;1e-06
90;6;10;105;1e-06
90;7;1;88;0
90;7;2;77;1e-06
90;7;3;80;0
90;7;4;89;2e-06
90;7;5;83;1e-06
90;7;6;95;1e-06
90;7;7;90;0
90;7;8;62;1e-06
90;7;9;83;1e-06
90;7;10;98;1e-06
90;8;1;96;1e-06
90;8;2;78;1e-06
90;8;3;70;2e-06
90;8;4;77;1e-06
90;8;5;63;0
90;8;6;70;1e-06
90;8;7;77;0
90;8;8;68;0
90;8;9;97;1e-06
90;8;10;88;1e-06
90;9;1;137;2e-06
90;9;2;147;1e-06
90;9;3;117;1e-06
90;9;4;157;1e-06
90;9;5;173;1e-06
90;9;6;141;1e-06
90;9;7;125;0
90;9;8;136;0
90;9;9;132;1e-06
90;9;10;130;0
90;10;1;98;0
90;10;2;102;1e-06
90;10;3;117;1e-06
90;10;4;98;0
90;10;5;84;0
90;10;6;95;5e-06
90;10;7;86;1e-06
90;10;8;97;1e-06
90;10;9;91;1e-06
90;10;10;82;1e-06
90;11;1;87;2e-06
90;11;2;107;0
90;11;3;75;1e-06
90;11;4;68;0
90;11;5;81;2e-06
90;11;6;78;1e-06
90;11;7;95;0
90;11;8;86;1e-06
90;11;9;81;0
90;11;10;83;0
90;12;1;71;0
90;12;2;71;0
90;12;3;93;3e-06
90;12;4;73;1e-06
90;12;5;83;0
90;12;6;81;0
90;12;7;77;0
90;12;8;83;0
90;12;9;77;1e-06
90;12;10;86;1e-06
90;13;1;162;1e-06
90;13;2;148;1e-06
90;13;3;134;1e-06
90;13;4;131;0
90;13;5;148;0
90;13;6;144;0
90;13;7;142;1e-06
90;13;8;130;0
90;13;9;153;0
90;13;10;132;1e-06
90;14;1;98;0
90;14;2;94;1e-06
90;14;3;102;0
90;14;4;91;1e-06
90;14;5;85;1e-06
90;14;6;90;1e-06
90;14;7;87;0
90;14;8;85;0
90;14;9;118;0
90;14;10;92;0
90;15;1;80;0
90;15;2;72;1e-06
90;15;3;82;1e-06
90;15;4;95;0
90;15;5;94;0
90;15;6;62;0
90;15;7;83;1e-06
90;15;8;86;0
90;15;9;84;0
90;15;10;83;1e-06
90;16;1;85;1e-06
90;16;2;71;0
90;16;3;73;0
90;16;4;69;1e-06
90;16;5;71;1e-06
90;16;6;74;1e-06
90;16;7;65;0
90;16;8;71;0
90;16;9;66;0
90;16;10;71;1e-06
90;17;1;110;1e-06
90;17;2;123;0
90;17;3;96;0
90;17;4;99;1e-06
90;17;5;126;4e-06
90;17;6;101;1e-06
90;17;7;98;0
90;17;8;126;1e-06
90;17;9;104;0
90;17;10;101;1e-06
90;18;1;101;2e-06
90;18;2;104;1e-06
90;18;3;85;1e-06
90;18;4;106;0
